71.0,78.0,97.0,128.5
148.5,170.4,198.2,218.2
240.9,259.9,365.0,503.7
582.9,427.3,430.3,469.0
405.0,459.8,486.1,472.1
472.1,471.9,456.1,515.6
566.5,583.8,574.8,583.4
633.6,681.8,687.5,820.6
878.9,844.3,935.3,1116
1203,1153,892.7,897.7
481.1,664.2,776.5,903.2
982.5,1002,811.2,843.9
886.4,962.0,1017,1066
953.2,924.9,1044,1204
1107,954.7,977.2,1054
1144,1103,1103,1225
1251,1151,1153,1305
1401,1305,1428,2004
2173,1937,2230,2636
2911,3207,3123,3181
2205,2220,2579,3014
3105,3080,3866,4726
5003,5661,6507,7103
7643,8288,8288,8288